PrimaryState,SettlementCity,County1,County2,State2,County3,State3,County4,State4,County5,State5,OtherDistinction,YearFounded,ChurchDistricts,city1,city2,city3,city1Lon,city1Lat,city2Lon,city2Lat,city3Lon,city3Lat
IOWA,Hazelton/Fairbank,Buchanan,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,7,Hazelton,Fairbank,NA,-91.9056039,42.6174483,-92.0471199,42.6391512,NA,NA
IOWA,Milton/Pulaski,Davis,Van Buren,IOWA,NA,NA,NA,NA,NA,NA,NA,1969,3,Milton,Pulaski,NA,-92.1621241,40.6733602,-92.2732386,40.696969,NA,NA
IOWA,Bloomfield/Drakesville,Davis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,9,Bloomfield,Drakesville,NA,-92.4149074,40.7516884,-92.4815754,40.7983533,NA,NA
IOWA,McIntire/Riceville,Howard,Mitchell,IOWA,NA,NA,NA,NA,NA,NA,NA,1975,2,McIntire,Riceville,NA,-92.5937915,43.4358006,-92.5540687,43.3638571,NA,NA
IOWA,Edgewood,Clayton,Delaware,IOWA,NA,NA,NA,NA,NA,NA,NA,1986,3,Edgewood,NA,NA,-91.4012515,42.6444313,NA,NA,NA,NA
IOWA,Chariton/Corydon,Lucas,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,1,Chariton,Corydon,NA,-93.3140985,41.0199996,-93.3188229,40.7569499,NA,NA
IOWA,Redding,Ringgold,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,2,Redding,NA,NA,-94.387736,40.6047134,NA,NA,NA,NA
IOWA,Seymour,Wayne,Putnam,MISSOURI,NA,NA,NA,NA,NA,NA,NA,1996,4,Seymour,NA,NA,-93.1197708,40.6822273,NA,NA,NA,NA
IOWA,Lamoni/Davis City,Decatur,Ringgold,IOWA,Harrison,MISSOURI,NA,NA,NA,NA,NA,1997,3,Lamoni,Davis City,NA,-93.9341158,40.622777,-93.8116131,40.6391684,NA,NA
IOWA,Waukon,Allamakee,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1,Waukon,NA,NA,-91.475695,43.2694208,NA,NA,NA,NA
IOWA,Diagonal,Ringgold,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,1,Diagonal,NA,NA,-94.3421793,40.8094349,NA,NA,NA,NA
IOWA,Centerville,Appanoose,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,1,Centerville,NA,NA,-92.8738196,40.7290565,NA,NA,NA,NA
IOWA,Brighton,Jefferson,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,1,Brighton,NA,NA,-91.8196149,41.1747394,NA,NA,NA,NA
IOWA,Bonaparte,Van Buren,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2,Bonaparte,NA,NA,-91.8032228,40.6980874,NA,NA,NA,NA
IOWA,Murray,Clarke,Union,IOWA,NA,NA,NA,NA,NA,NA,NA,2006,1,Murray,NA,NA,-93.9493246,41.0417646,NA,NA,NA,NA
IOWA,Northwood,Worth,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,1,Northwood,NA,NA,-93.2210371,43.4441245,NA,NA,NA,NA
IOWA,Sigourney,Keokuk,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,1,Sigourney,NA,NA,-92.2046255,41.3333445,NA,NA,NA,NA
IOWA,Clermont,Fayette,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,1,Clermont,NA,NA,-91.652374,43.0035912,NA,NA,NA,NA
IOWA,Hopkinton/Delhi,Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,Hopkinton,Delhi,NA,-91.2484799,42.3438857,-91.3309789,42.4297143,NA,NA
IOWA,Albia,Monroe,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,Albia,NA,NA,-92.811307,41.0300078,NA,NA,NA,NA
IOWA,Williamson/Chariton,Lucas,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,Williamson,Chariton,NA,-93.2549305,41.0877764,-93.3140985,41.0199996,NA,NA
KANSAS,Haven/Yoder,Reno,NA,NA,NA,NA,NA,NA,NA,NA,NA,1883,3,Haven,Yoder,NA,-97.7828272,37.8989003,-97.8683846,37.9402895,NA,NA
KANSAS,Hutchinson,Reno,NA,NA,NA,NA,NA,NA,NA,NA,NA,1883,2,Hutchinson,NA,NA,-97.9297743,38.0608445,NA,NA,NA,NA
KANSAS,Garnett,Anderson,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,2,Garnett,NA,NA,-95.2419192,38.2805772,NA,NA,NA,NA
KANSAS,Fort Scott,Bourbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1,Fort Scott,NA,NA,-94.7082951,37.8397626,NA,NA,NA,NA
KANSAS,Chetopa,Labette,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2,Chetopa,NA,NA,-95.0899613,37.0372916,NA,NA,NA,NA
KANSAS,Parsons,Labette,Neosho,KANSAS,NA,NA,NA,NA,NA,NA,NA,2006,2,Parsons,NA,NA,-95.2610838,37.3403384,NA,NA,NA,NA
KANSAS,Marysville/Axtell,Marshall,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,Marysville,Axtell,NA,-96.647242,39.8411129,-96.2588985,39.8716662,NA,NA
KENTUCKY,Guthrie,Todd,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,3,Guthrie,NA,NA,-87.1663917,36.6483777,NA,NA,NA,NA
KENTUCKY,Crofton,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,2,Crofton,NA,NA,-87.4850022,37.0478218,NA,NA,NA,NA
KENTUCKY,Marion,Crittenden,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,4,Marion,NA,NA,-88.0811349,37.3328286,NA,NA,NA,NA
KENTUCKY,Dunnville/Columbia,Adair,Casey,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,1978,2,Dunnville,Columbia,NA,-85.0092909,37.1986945,-85.3063504,37.102841,NA,NA
KENTUCKY,Glasgow,Barren,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,1,Glasgow,NA,NA,-85.9119215,36.9958839,NA,NA,NA,NA
KENTUCKY,Park City/Smith's Grove,Barren,Warren,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,1984,3,Park City,Smith's Grove,NA,-86.046367,37.0939375,-86.2077608,37.0525453,NA,NA
KENTUCKY,Sonora/Upton,Hardin,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,1,Sonora,Upton,NA,-85.8930192,37.524226,-85.8932982,37.4650577,NA,NA
KENTUCKY,Munfordville/Horse Cave,Grayson,Hart,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,1989,14,Munfordville,Horse Cave,NA,-85.8910819,37.2722751,-85.9069175,37.179496,NA,NA
KENTUCKY,Hopkinsville/Pembroke,Christian,Logan,KENTUCKY,Trigg,KENTUCKY,NA,NA,NA,NA,NA,1989,9,Hopkinsville,Pembroke,NA,-87.4886186,36.8656008,-87.3555622,36.775878,NA,NA
KENTUCKY,Hardyville/Three Springs,Hart,Metcalfe,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,1991,2,Hardyville,Three Springs,NA,-85.786111,37.254167,-85.7435813,37.1717218,NA,NA
KENTUCKY,Sonora,Hardin,Larue,KENTUCKY,NA,NA,NA,NA,NA,NA,Swartzentruber,1991,3,Sonora,NA,NA,-85.8930192,37.524226,NA,NA,NA,NA
KENTUCKY,Crab Orchard,Lincoln,Rockcastle,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,1994,4,Crab Orchard,NA,NA,-84.5066044,37.4645267,NA,NA,NA,NA
KENTUCKY,Hudson/Harned,Breckinridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,2,Hudson,Harned,NA,-86.2766403,37.6511702,-86.4135881,37.7517261,NA,NA
KENTUCKY,Lewisburg,Logan,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Lewisburg,NA,NA,-86.9472194,36.9864336,NA,NA,NA,NA
KENTUCKY,Hillsboro,Fleming,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,2,Hillsboro,NA,NA,-83.6588043,38.293412,NA,NA,NA,NA
KENTUCKY,Princeton,Caldwell,Lyons,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,2001,1,Princeton,NA,NA,-87.8819594,37.1092162,NA,NA,NA,NA
KENTUCKY,Fancy Farm/Mayfield,Graves,Hickman,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,2001,1,Fancy Farm,Mayfield,NA,-88.7913607,36.7994279,-88.6367154,36.7417235,NA,NA
KENTUCKY,Mayfield,Graves,NA,NA,NA,NA,NA,NA,NA,NA,Swartzentruber,2002,1,Mayfield,NA,NA,-88.6367154,36.7417235,NA,NA,NA,NA
KENTUCKY,Cadiz,Trigg,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,1,Cadiz,NA,NA,-87.835295,36.8650496,NA,NA,NA,NA
KENTUCKY,Turners Station,Carroll,Henry,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,2002,1,Turners Station,NA,NA,-85.1677318,38.5556203,NA,NA,NA,NA
KENTUCKY,Campbellsville/Mannsville,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1,Campbellsville,Mannsville,NA,-85.3419069,37.3433974,-85.196667,37.3725,NA,NA
KENTUCKY,Flemingsburg/Poplar Grove,Fleming,NA,NA,NA,NA,NA,NA,NA,NA,Swiss,2004,3,Flemingsburg,Poplar Grove,NA,-83.7338076,38.4222995,-84.5037164,38.0405837,NA,NA
KENTUCKY,Mays Lick,Mason,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,2,Mays Lick,NA,NA,-83.8573176,38.51766465,NA,NA,NA,NA
KENTUCKY,Irvington,Breckinridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1,Irvington,NA,NA,-86.2838622,37.8803429,NA,NA,NA,NA
KENTUCKY,Auburn,Logan,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1,Auburn,NA,NA,-86.7102735,36.8642088,NA,NA,NA,NA
KENTUCKY,Tollesboro/Vanceburg,Lewis,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1,Tollesboro,Vanceburg,NA,-83.576111,38.559444,-83.3187952,38.599243,NA,NA
KENTUCKY,Carlisle,Nicholas,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,1,Carlisle,NA,NA,-84.027427,38.3120197,NA,NA,NA,NA
KENTUCKY,Owingsville/Preston District,Bath,NA,NA,NA,NA,NA,NA,NA,NA,Swiss,2006,1,Owingsville,Preston District,NA,-83.7640847,38.1448015,-84.2700179,37.8393332,NA,NA
KENTUCKY,Morgantown,Butler,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,1,Morgantown,NA,NA,-86.6835998,37.2256023,NA,NA,NA,NA
KENTUCKY,Willisburg/Springfield,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,1,Willisburg,Springfield,NA,-85.126347,37.8097892,-85.2221819,37.6853413,NA,NA
KENTUCKY,Owingsville/Slate Valley,Bath,NA,NA,NA,NA,NA,NA,NA,NA,Troyer,2011,1,Owingsville,Slate Valley,NA,-83.7640847,38.1448015,-83.7232502,38.1692461,NA,NA
