TRACT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MENACING,MVTHEFT,MURDER_MANSLAUGHTER,DISCONDUCT,PROSTITUTION,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1P,P1V
36055000200,1999,2,0,0,1,2,0,0,6,0,0,0,0,0,0,0,1,0,0,3,7,0
36055000200,1999,3,0,0,1,1,0,0,8,0,2,0,0,0,0,0,0,0,0,1,11,0
36055000200,1999,4,0,0,0,3,1,0,6,0,2,0,0,0,0,1,0,1,0,4,9,1
36055000200,1999,5,0,0,1,4,0,0,14,0,0,0,3,0,0,0,0,0,0,7,15,0
36055000200,1999,6,0,0,1,4,1,0,7,0,1,0,2,0,0,0,0,1,0,7,9,0
36055000200,1999,7,0,0,1,2,1,0,15,0,0,0,1,0,0,0,0,0,0,4,16,0
36055000200,1999,8,0,0,2,5,0,0,18,0,1,0,2,0,0,0,1,0,0,8,21,0
36055000200,1999,9,0,0,0,4,1,0,12,0,2,0,2,0,0,0,0,0,0,7,14,0
36055000200,1999,10,0,0,1,2,0,0,12,0,1,0,2,0,0,0,2,2,1,7,14,0
36055000200,1999,11,0,0,1,3,0,0,3,0,0,0,4,0,0,0,2,0,0,9,4,0
36055000200,1999,12,0,0,0,2,0,0,5,0,3,0,5,0,0,0,3,0,1,11,8,0
36055000200,2000,1,0,0,2,0,1,0,7,0,0,0,4,0,0,2,1,0,0,6,11,2
36055000200,2000,2,0,0,0,1,0,0,11,0,1,0,1,0,0,0,0,1,0,2,12,0
36055000200,2000,3,0,0,2,4,1,0,11,0,0,0,2,0,0,0,1,0,0,8,13,0
36055000200,2000,4,2,0,0,3,0,0,11,0,0,0,4,0,0,0,2,0,0,9,11,2
36055000200,2000,5,0,0,1,3,1,0,11,0,0,0,3,0,0,0,1,0,0,8,12,0
36055000200,2000,6,0,0,2,3,0,0,19,0,1,0,3,0,0,0,0,0,0,6,22,0
36055000200,2000,7,0,0,1,7,0,0,12,0,0,0,3,0,0,0,1,0,0,11,13,0
36055000200,2000,8,0,0,0,4,0,0,18,0,1,0,0,0,0,0,1,0,0,5,19,0
36055000200,2000,9,0,0,4,3,0,0,13,0,0,0,0,0,0,0,1,0,0,4,17,0
