BEAT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSPRIS,ASSOFFC,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRNKDRIV,EMBEZZLE,FAMVIOL,FORGERY,FRAUD,GAMBLING,LARCENY,LIQVIOL,MVTHEFT,MURDMANS,NEGMANSL,PUBDRUNK,RAPE,ROBBERY,RUNAWAY,SIMPASS,STOLPROP,TRESPASS,VAGRANCY,VANDAL,WEAPONS,PROSTITN,SEXOFF,VCI,P1V,P1P
11,1995,1,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,11
11,1995,2,0,0,0,0,0,0,2,4,3,0,0,0,1,0,0,0,2,0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,10,1,10
11,1995,3,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9,0,5
11,1995,4,1,3,0,0,0,0,2,10,4,0,0,0,0,0,0,0,5,0,9,0,0,0,0,1,0,9,1,1,0,0,0,0,0,27,1,17
11,1995,5,0,10,1,0,0,0,0,7,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,25,1,7
11,1995,6,1,9,0,0,0,0,2,6,2,0,0,0,1,0,0,0,9,0,5,0,0,0,0,0,0,7,0,0,0,1,0,0,0,25,0,16
11,1995,7,3,6,0,0,0,0,2,11,4,0,0,0,1,0,0,0,10,0,2,0,0,0,0,0,0,7,0,5,1,0,0,0,1,31,0,14
11,1995,8,2,2,0,0,0,0,4,7,4,0,0,0,1,1,0,0,7,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,22,0,18
11,1995,9,0,5,2,1,0,0,0,3,1,0,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,5,1,0,0,3,0,0,1,15,2,6
11,1995,10,2,0,0,0,0,0,4,7,6,0,0,0,1,0,0,0,6,0,7,0,0,0,0,4,0,8,0,1,0,3,0,0,0,23,4,21
11,1995,11,0,2,0,0,0,0,2,7,3,0,0,0,1,0,1,0,3,0,2,0,0,0,0,1,0,3,0,0,1,0,0,0,0,15,1,8
11,1995,12,0,0,0,1,0,0,3,3,0,0,0,0,1,0,1,0,3,0,4,0,0,0,0,1,0,3,0,1,0,0,0,0,2,7,1,11
11,1996,1,1,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,2,0,3,0,0,0,0,1,0,3,1,0,0,0,0,0,0,12,1,6
11,1996,2,1,0,1,0,0,0,5,7,5,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,17,1,12
11,1996,3,3,1,0,0,0,0,2,6,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,13,0,6
11,1996,4,3,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,13,0,7
11,1996,5,0,3,0,0,0,0,0,6,2,0,0,0,0,0,1,0,9,0,3,0,0,0,1,0,0,7,0,1,0,0,0,0,1,18,1,12
11,1996,6,3,1,0,0,0,0,2,7,2,0,0,0,0,0,1,0,6,0,9,0,0,0,1,0,0,6,0,1,0,0,0,0,2,19,1,17
11,1996,7,3,2,0,1,0,0,0,8,3,1,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,21,0,16
11,1996,8,1,1,0,1,0,0,3,5,2,0,0,0,1,0,0,0,9,0,2,0,0,0,0,1,0,11,0,1,0,0,0,0,0,21,1,15
11,1996,9,0,0,0,1,0,0,4,7,1,0,0,0,1,0,0,0,6,0,6,0,0,0,0,2,0,6,0,1,0,0,0,0,0,15,2,18
11,1996,10,1,1,0,2,0,0,2,9,2,2,0,0,1,0,0,1,5,0,1,0,0,0,0,1,0,9,1,3,0,0,0,0,1,24,1,9
11,1996,11,0,1,0,0,0,0,2,3,3,0,0,0,2,0,1,0,4,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,11,3,12
11,1996,12,1,7,0,2,0,0,1,6,2,0,0,0,2,0,0,0,7,0,3,0,0,0,0,1,0,5,0,0,1,1,0,0,1,23,1,12
11,1997,1,1,2,0,1,0,0,3,3,1,0,0,0,0,1,1,0,2,0,2,0,0,0,0,1,0,4,0,1,0,0,0,0,0,12,1,8
11,1997,2,0,1,1,0,0,0,9,5,1,0,0,0,1,1,1,0,9,0,2,0,0,0,2,0,0,6,0,0,0,0,0,0,3,13,3,20
11,1997,3,0,2,0,0,0,0,4,6,2,0,0,0,0,0,1,0,6,0,2,0,0,0,0,1,0,3,1,1,0,0,0,0,0,13,1,13
11,1997,4,2,0,0,0,0,0,3,5,2,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,7,0,1,0,0,0,0,0,16,0,11
11,1997,5,1,2,0,0,0,0,1,8,3,2,0,0,1,1,0,0,4,0,2,0,0,0,0,1,0,8,0,2,0,0,0,0,0,22,1,8
11,1997,6,1,2,0,0,0,0,2,9,3,0,0,0,0,0,1,0,7,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,27,1,11
11,1997,7,1,5,0,0,0,0,3,7,1,2,0,0,0,0,0,0,8,0,2,0,0,0,0,3,0,6,0,1,0,1,0,0,0,20,3,16
11,1997,8,1,3,0,0,0,0,3,7,1,0,0,0,1,1,1,0,9,0,2,0,0,0,0,0,0,7,0,0,0,1,0,0,0,19,0,14
11,1997,9,1,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,16,1,8
11,1997,10,3,8,0,0,0,0,0,7,1,0,0,0,2,0,0,0,7,0,3,0,0,0,0,1,0,4,0,1,0,0,0,0,2,23,1,11
11,1997,11,0,2,1,0,0,0,0,7,4,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17,1,4
11,1997,12,0,1,0,0,0,0,2,4,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,11,2,6
11,1998,1,1,2,0,0,0,0,3,12,6,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,30,0,10
11,1998,2,0,1,0,0,0,0,2,2,2,0,0,0,0,0,1,0,8,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,8,0,14
11,1998,3,2,1,0,0,0,0,4,4,3,1,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,6,0,2,0,0,0,0,0,16,0,15
11,1998,4,0,0,0,0,0,0,3,2,5,0,1,0,0,0,1,0,3,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,9
11,1998,5,3,6,0,0,0,0,1,6,5,0,0,0,0,0,0,0,3,0,6,0,0,0,0,1,0,8,0,0,0,0,0,0,0,28,1,11
11,1998,6,4,0,0,0,0,0,1,4,7,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,18,1,9
11,1998,7,5,3,0,0,0,0,4,5,5,4,0,0,1,0,0,0,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,0,12
11,1998,8,0,4,1,0,0,0,0,5,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,17,1,3
11,1998,9,0,2,1,0,0,0,3,5,1,0,0,0,0,1,1,0,6,0,5,0,0,0,0,1,0,2,0,0,1,0,0,0,0,10,2,15
11,1998,10,1,0,0,0,0,0,3,6,2,0,0,0,0,1,0,0,8,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,13
11,1998,11,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,11,0,9
11,1998,12,3,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,7
11,1999,1,0,4,1,0,0,0,1,2,1,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,12,1,8
11,1999,2,2,2,1,0,0,0,0,3,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,1,1
11,1999,3,1,5,1,0,0,0,1,2,1,1,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,12,1,10
11,1999,4,7,1,0,0,0,0,2,8,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,23,0,8
11,1999,5,1,2,0,0,0,0,3,3,2,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,9,3,0,0,0,0,0,0,17,0,19
11,1999,6,0,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,1,0,0,1,0,0,0,10,0,9
11,1999,7,0,2,0,0,0,0,3,2,0,0,0,0,0,0,1,0,10,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,7,0,16
11,1999,8,4,0,0,0,0,0,2,4,1,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,10,0,9
11,1999,9,2,8,1,0,0,0,1,2,2,0,0,0,0,0,0,0,4,0,5,0,0,0,0,1,0,4,1,0,0,1,0,0,0,18,2,11
11,1999,10,1,8,0,1,0,0,0,1,0,1,0,0,0,2,6,0,1,0,2,0,0,0,0,1,0,3,0,1,0,0,0,0,0,14,1,4
11,1999,11,2,2,0,1,0,0,1,7,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,6,0,1,0,1,0,0,0,18,0,6
11,1999,12,0,0,2,0,0,0,1,2,1,0,0,0,1,1,1,0,5,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,2,12
11,2000,1,1,2,1,0,0,0,2,4,0,0,0,0,0,2,2,0,2,0,3,0,0,0,0,0,0,9,1,0,0,0,0,0,0,16,1,7
11,2000,2,0,2,0,0,0,0,2,4,4,1,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18,0,8
11,2000,3,1,3,2,0,0,0,5,7,1,0,1,0,1,0,0,0,4,1,0,0,0,0,1,0,0,16,1,1,0,0,0,0,0,28,3,9
11,2000,4,2,1,0,0,0,0,2,7,3,0,0,0,1,0,1,0,6,0,1,0,0,0,1,2,0,9,0,0,0,0,0,0,4,22,3,11
11,2000,5,1,0,1,0,0,0,0,10,3,1,1,0,0,1,1,0,2,0,7,0,0,1,0,1,0,14,0,2,0,0,0,0,0,28,2,10
11,2000,6,0,4,1,0,0,0,2,4,0,2,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,13,1,0,0,0,0,0,0,21,1,9
11,2000,7,2,0,0,0,0,0,1,8,4,0,0,0,1,0,1,0,4,0,7,0,0,0,1,0,0,5,1,0,0,0,2,0,0,19,1,12
11,2000,8,0,0,0,0,0,0,1,8,4,0,0,0,1,0,0,0,13,0,8,0,0,0,0,0,0,13,1,2,0,0,0,0,0,25,0,22
11,2000,9,0,1,0,0,0,0,1,7,4,3,0,0,2,0,1,0,5,0,4,0,0,0,0,2,0,10,0,1,0,0,0,1,1,22,2,12
11,2000,10,0,1,1,0,0,0,3,4,3,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,7,0,2,1,1,0,0,0,15,1,8
11,2000,11,1,2,1,0,0,0,1,7,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,16,2,4
