BEAT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MVTHEFT,MURDMANS,DISCONDUCT,PROST,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1V,P1P
231,1991,2,0,0,7,13,7,0,12,2,0,24,18,1,4,10,1,0,54,5,25
231,1991,3,0,0,18,23,11,0,25,8,0,18,7,0,1,10,3,2,64,1,52
231,1991,4,2,0,10,19,4,0,14,5,0,27,25,0,5,12,2,0,62,7,34
231,1991,5,4,0,11,23,9,0,14,7,0,23,19,2,3,15,1,0,70,9,35
231,1991,6,4,0,19,22,11,0,24,8,0,27,33,0,2,11,2,3,74,6,53
231,1991,7,2,0,14,17,17,0,30,8,0,17,216,2,2,11,3,1,63,6,54
231,1991,8,3,0,8,15,4,0,31,3,0,22,77,1,6,20,0,3,64,10,48
231,1991,9,3,0,9,27,10,0,23,7,0,23,54,1,1,14,3,3,77,5,40
231,1991,10,3,1,10,21,6,0,32,12,0,21,31,0,4,16,3,1,66,7,58
231,1991,11,1,1,18,17,2,0,25,9,0,24,22,0,0,4,1,0,48,1,52
231,1991,12,2,0,19,19,4,0,32,6,0,19,11,0,1,14,0,1,57,3,58
231,1992,1,1,0,13,21,7,0,22,6,0,20,10,0,3,13,0,1,62,4,44
231,1992,2,2,1,17,14,5,0,10,13,0,22,8,1,7,6,1,0,48,10,47
231,1992,3,1,1,13,20,8,0,16,8,0,14,21,0,6,15,1,2,60,7,43
231,1992,4,4,0,19,25,13,0,16,12,1,17,8,3,0,14,2,0,69,8,47
231,1992,5,5,0,13,27,8,0,36,7,0,15,23,0,4,11,1,2,63,9,60
231,1992,6,3,0,16,27,2,0,18,7,0,23,11,0,3,8,4,0,60,6,44
231,1992,7,1,0,19,15,6,0,19,11,0,19,8,2,4,11,2,2,53,7,53
231,1992,8,2,0,21,14,4,0,28,8,0,25,2,1,7,17,5,0,60,10,64
231,1992,9,2,0,14,16,5,0,17,2,1,25,9,0,7,14,0,3,63,10,40
231,1992,10,3,0,21,17,2,0,23,12,0,13,7,1,4,10,0,2,44,8,60
