TRACT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSAULT_BY_PRISONER,ASSAULT_OFFICER_NO_INJURY,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRUNKEN_DRIVING,EMBEZZLEMENT,FAMILY_VIOLENCE,FORGERY,FRAUD,GAMBLING,LARCENY,LIQUOR_LAW_VIOLATIONS,MVTHEFT,MURDER_MANSLAUGHTER,NEGLIGENT_MANSLAUGHTER,PROSTITUTION,PUBLIC_DRUNKENNESS,RAPE,ROBBERY,RUNAWAY,SEXOFF,SIMPASS,STOLEN_PROPERTY,TRESPASS,VAGRANCY,VANDALISM,WEAPONS,VCI,P1P,P1V
101,1994,9,2,0,0,0,0,0,0,7,3,0,0,2,0,2,3,0,28,0,4,0,0,0,0,0,1,0,0,7,1,0,0,0,0,19,33,1
101,1994,10,1,0,2,0,0,0,7,12,4,0,0,0,0,1,0,0,23,0,5,0,0,0,0,3,1,0,3,17,1,1,0,0,0,34,36,6
101,1994,11,2,0,0,1,0,0,1,12,2,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,19,14,1
101,1994,12,3,1,0,0,0,0,4,7,0,0,0,1,2,1,3,0,22,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,15,28,1
101,1995,1,0,0,0,0,0,0,4,7,8,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,1,0,1,12,0,1,0,0,0,27,25,1
101,1995,2,0,1,0,0,0,0,2,3,2,0,0,0,1,0,0,0,19,0,2,0,0,0,1,0,3,0,1,6,1,0,0,0,0,12,26,3
101,1995,3,1,0,0,0,0,1,1,5,3,0,0,0,0,4,6,0,22,0,5,0,0,0,0,1,4,0,1,5,3,1,0,0,0,14,32,5
101,1995,4,1,0,0,0,0,0,1,7,1,0,0,0,0,0,2,0,17,0,2,0,0,0,0,0,1,0,0,7,0,0,0,0,0,16,21,1
101,1995,5,3,1,0,0,0,0,3,9,4,0,0,0,0,0,2,0,22,0,6,0,0,0,0,0,1,0,3,7,1,0,0,0,0,24,32,1
101,1995,6,1,1,0,0,0,0,1,6,4,0,0,1,0,1,2,0,18,0,2,0,0,0,0,1,2,0,1,12,1,1,0,0,0,24,23,3
101,1995,7,1,0,0,0,0,0,0,2,2,0,0,1,1,0,3,0,15,0,3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,8,19,2
101,1995,8,3,0,0,0,0,0,3,6,3,0,0,0,0,2,4,0,24,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,19,32,0
101,1995,9,4,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,19,0,2,0,0,0,0,0,3,0,1,7,0,0,0,0,0,18,24,3
101,1995,10,1,1,0,0,0,0,5,5,5,0,0,0,1,0,1,0,24,0,1,0,0,0,0,0,1,0,2,4,1,0,0,0,0,16,31,1
101,1995,11,1,1,0,0,0,0,6,6,4,0,0,0,0,2,4,0,27,0,1,0,0,0,0,0,3,0,2,8,0,0,0,0,0,20,37,3
101,1995,12,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,26,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,7,30,1
101,1996,1,0,0,0,0,0,0,4,10,4,1,0,0,0,1,2,0,18,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,20,25,0
101,1996,2,0,0,1,2,0,0,2,9,4,0,0,0,0,1,3,0,26,0,1,0,0,0,0,0,1,0,0,15,0,0,0,0,0,30,30,2
101,1996,3,0,1,0,0,0,0,1,4,5,0,0,1,0,0,2,0,17,0,5,0,0,0,0,0,1,0,0,12,0,0,0,0,0,22,24,1
101,1996,4,4,0,0,0,0,0,3,7,4,0,0,0,0,2,1,0,16,1,2,0,0,0,0,0,4,0,0,8,1,0,0,0,0,23,25,4
101,1996,5,0,0,0,0,0,0,2,4,3,0,0,1,0,1,5,0,18,0,1,0,0,0,0,0,2,0,0,10,0,1,1,0,0,17,23,2
101,1996,6,1,0,0,0,0,0,3,10,3,0,0,0,0,0,1,0,24,0,2,0,0,0,0,1,2,0,1,5,0,1,0,0,0,19,31,3
101,1996,7,0,0,1,1,0,0,2,1,2,0,0,0,0,0,3,0,14,0,2,0,0,0,0,1,2,0,1,11,0,0,0,0,0,15,20,4
101,1996,8,1,0,1,0,0,0,4,1,3,2,0,0,0,0,3,0,16,0,3,0,0,0,1,0,2,0,0,10,1,0,0,0,0,15,25,3
101,1996,9,0,1,0,0,0,0,3,1,2,0,0,0,0,0,1,0,11,0,3,0,0,0,0,1,1,0,0,5,1,0,0,0,0,9,18,2
101,1996,10,0,0,2,0,0,0,1,4,2,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,21,2
101,1996,11,0,0,0,0,0,0,3,4,3,0,0,0,1,0,1,0,6,0,3,0,0,0,0,0,3,0,0,3,0,2,0,0,0,10,15,3
101,1996,12,0,0,0,0,0,0,5,7,2,0,0,0,0,1,1,0,21,0,4,0,0,0,0,0,1,0,0,6,0,0,0,0,0,15,31,1
101,1997,1,1,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,17,24,1
101,1997,2,0,0,0,0,0,0,4,6,5,0,0,0,0,0,2,0,13,0,4,0,0,0,0,0,1,0,0,4,0,1,0,0,0,15,22,1
101,1997,3,1,1,0,0,0,0,11,13,2,0,0,0,0,1,3,0,17,0,2,0,0,0,0,0,1,0,0,11,0,0,0,0,0,28,31,1
101,1997,4,1,0,0,0,0,0,9,11,7,0,0,0,0,1,1,0,26,0,4,0,0,0,0,0,4,0,1,3,0,0,0,0,0,22,43,4
101,1997,5,0,0,0,0,0,0,4,4,3,0,0,0,0,1,0,0,13,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,11,20,2
101,1997,6,2,1,0,0,0,0,3,12,3,0,0,0,0,2,1,0,20,0,3,0,0,0,0,0,2,0,0,4,0,1,0,0,0,22,28,2
101,1997,7,5,2,1,0,0,0,1,4,1,0,0,0,2,0,3,0,20,0,4,0,0,0,0,0,0,0,0,18,0,0,0,0,1,30,25,1
101,1997,8,3,2,0,0,0,0,0,6,3,0,0,0,0,2,1,0,28,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,17,30,0
101,1997,9,2,0,0,0,0,0,16,9,0,0,0,0,2,0,3,0,28,0,2,0,0,0,0,0,1,0,1,2,2,1,0,0,0,13,47,1
101,1997,10,1,0,0,0,0,0,1,14,4,0,0,0,0,0,1,0,26,0,2,0,0,0,0,1,1,0,0,3,0,0,0,0,0,22,30,2
101,1997,11,0,0,0,1,0,0,14,11,2,0,0,0,1,3,3,0,20,0,2,0,0,0,0,0,1,0,0,4,1,0,0,0,0,18,37,1
